Prefecture,2017,2016,2015,2014,2013,2012,2011,Longitude,Latitude
Aichi Prefecture,8.571668693,9.507853253,10.32515746,9.076213572,6.911379222,8.604232473,9.632621177,35.0183,137.2924
Akita Prefecture,0.296554034,0.304207629,0.21430633,0.28405745,0.288262077,0.298309112,0.281906835,40.1376,140.3343
Aomori Prefecture,0.546218729,0.533415316,0.413091002,0.599279111,0.452553246,0.39490242,0.400095958,40.7657,140.9176
Chiba Prefecture,32.43316817,35.42410546,40.08797256,13.44509565,11.132054,11.25504007,9.945017566,35.3354,140.1833
Ehime Prefecture,0.42806817,0.323608079,0.319224162,0.494846899,0.23275546,0.293044024,0.214468944,33.6025,132.7858
Fukui Prefecture,0.145320687,0.155525825,0.08072307,0.156845306,0.128811692,0.159404509,0.12654615,35.8962,136.2112
Fukuoka Prefecture,10.7994748,10.61695989,10.47824042,11.27256257,14.12474044,12.73418007,12.55919266,33.5663,130.7159
Fukushima Prefecture,0.166342366,0.170661146,0.196869167,0.198634554,0.143557548,0.191635109,0.240193672,37.3834,140.1833
Gifu Prefecture,2.910891239,3.438822948,3.189600638,3.307268067,3.670781912,3.287533396,2.863973455,35.7437,136.9805
Gunma Prefecture,0.335593667,0.496816099,0.411279419,0.398409469,0.517001455,0.531495395,0.349017821,36.5605,138.88
Hiroshima Prefecture,3.017378309,3.496313084,3.036447458,3.402104484,2.828570713,3.236507233,3.56130744,34.8823,133.0195
Hokkaido,9.242336345,9.376986742,10.22591743,10.6687058,12.06433586,12.98317108,11.72233909,43.2203,142.8635
Hyogo Prefecture,5.954529555,6.615809034,7.342119185,6.890485631,6.726388747,6.020531635,6.901315669,34.858,134.5454
Ibaraki Prefecture,0.226296967,0.400455165,0.354494538,0.323430456,0.188645765,0.317300145,0.323641193,36.2194,140.1833
Ishikawa Prefecture,2.174601411,2.401717091,2.287328591,1.876575642,2.344969447,1.815823432,1.467776738,36.326,136.529
Iwate Prefecture,0.211483459,0.28349978,0.160767733,0.331189998,0.371342879,0.301043821,0.21563956,39.5833,141.2535
Kagawa Prefecture,1.023212809,0.816103593,0.785734681,0.870597719,0.406208918,0.318133357,0.528081012,34.2226,134.0199
Kagoshima prefecture,1.085741143,0.894417622,1.009521135,0.660589793,0.930153067,0.807393553,1.283059093,31.3912,130.8779
Kanagawa Prefecture,7.454110914,9.094417533,10.96271142,11.79254367,10.25528588,12.47494226,12.25325262,35.4914,139.2841
Kochi Prefecture,0.139518298,0.163697928,0.169585593,0.188665245,0.177355894,0.099126748,0.065307746,33.5481,133.2522
Kumamoto Prefecture,2.364242479,1.848170865,3.781811121,4.94929218,6.732430699,5.649457455,4.781218437,32.8594,130.7969
Kyoto,30.72404233,33.18859187,30.37094266,27.92975671,24.9496167,23.37978911,23.33795094,35.0116,135.7681
Mie Prefecture,0.474212445,0.65761705,0.442087405,0.547453804,0.610782385,0.552434748,0.504114057,33.8144,136.0487
Miyagi Prefecture,0.690972356,0.769393337,0.635381451,0.688341707,0.817654553,0.710471994,0.451197244,38.6306,141.1193
Miyazaki Prefecture,0.369773003,0.34604113,0.328115258,0.268235985,0.301080095,0.349107674,0.557799196,32.6036,131.4413
Nagano Prefecture,3.121474172,3.113722668,3.608108339,3.50495767,4.23610225,3.958491043,2.658645799,36.1544,137.9218
Nagasaki Prefecture,2.338802967,2.631585925,3.007480152,3.02236885,4.049130991,3.690285228,2.986714533,32.7503,129.8779
Nara Prefecture,8.944438805,8.410652289,6.564687556,6.366226167,5.947479326,4.425623104,4.276611538,34.2976,135.828
Niigata Prefecture,0.615420511,0.486393443,0.536442893,0.548475135,0.331685221,0.478799885,0.323416445,37.5178,138.927
Oita Prefecture,5.221902898,4.572016942,5.46227047,6.09696646,7.668779278,6.624556328,5.940000096,33.2396,131.6095
Okayama Prefecture,0.719973136,0.882974022,0.766051587,0.870715396,0.583225485,0.54769341,0.594833381,34.8963,133.6375
Okinawa Prefecture,8.900567994,8.399519287,7.843443532,6.483088739,5.418861957,4.769789398,4.35221878,26.1202,127.7025
Osaka,44.05515046,44.72528255,41.85303513,34.1274642,30.15250534,30.07725954,32.40671393,34.6413,135.5629
Saga Prefecture,0.715633132,0.94164058,0.595157203,0.484961988,0.689459505,0.508882467,0.453954894,33.3078,130.2271
Saitama Prefecture,0.454212946,0.664472355,0.617706797,0.789364918,0.624314717,0.70374983,0.709285624,35.9963,139.4466
Shiga Prefecture,0.546784288,0.550003426,0.584774002,0.627735244,0.494824538,0.344551254,0.575558541,35.3292,136.0563
Shimane Prefecture,0.105997523,0.248081141,0.154642664,0.160548944,0.132000543,0.143894732,0.126339143,35.1244,132.6293
Shizuoka Prefecture,5.00399191,5.739087508,5.974130994,4.750724342,1.726235709,2.699174984,2.729467881,35.0929,138.319
Tochigi Prefecture,1.137546192,1.229688289,1.095259651,1.654198193,1.618072489,1.459697633,1.537908154,36.6715,139.8547
Tokushima Prefecture,0.239779274,0.115630036,0.259664126,0.224000786,0.180763344,0.186477752,0.118586834,33.942,134.3237
Tokyo,41.07256662,44.46722061,48.19020228,48.52195957,43.22644174,50.48726228,49.83915036,35.6762,139.6503
Tottori Prefecture,0.229983463,0.308909979,0.182707289,0.194137579,0.153529018,0.183421794,0.11464069,35.3573,133.4067
Toyama Prefecture,1.150898134,1.31682279,1.749833071,1.666805596,1.687346463,1.53886327,1.583130664,36.6958,137.2137
Wakayama Prefecture,1.376951681,1.431527603,1.440507609,1.870830318,1.802326927,1.423396167,1.518764282,33.9481,135.3745
Yamagata Prefecture,0.283368105,0.281425751,0.166487557,0.296216509,0.312901196,0.143263969,0.150516898,38.5371,140.1435
Yamaguchi Prefecture,0.862142689,0.87363043,0.688464589,0.220184044,0.153084046,0.263547038,0.1267028,34.2797,131.5213
Yamanashi Prefecture,6.274849866,6.773684625,8.0066143,6.192362943,7.38824966,8.518342088,7.160769519,35.6635,138.6389
